省份,时间,确诊,治愈,死亡,新增确诊
台湾,2.18,22,2,1,0
台湾,2.19,24,2,1,2
台湾,2.20,24,2,1,0
台湾,2.21,26,2,1,2
台湾,2.24,30,5,1,0
台湾,2.25,31,5,1,1
台湾,2.26,32,5,1,1
台湾,2.29,39,9,1,0
台湾,3.3,42,12,1,1
台湾,3.4,42,12,1,0
台湾,3.10,47,17,1,2
台湾,4.4,355,50,5,7
台湾,4.5,363,54,5,8
台湾,4.8,379,67,5,3
台湾,4.20,425,217,6,2
台湾,5.3,438,334,6,4
